StudentID,InterIntraDistrictStateCode,NonpublicSchoolStateCode,NextSchoolCode,ReportingSchoolCode,SchoolCode,StudentNumber,AcademicYear,Track,AttendanceProgramCode,AttendanceProgramCodeAdditional1,AttendanceProgramCodeAdditional2,Grade,ElementaryTeacherNumber,ElementaryTeacherName,EnterDate,LeaveDate,ExitReasonCode,InterIntraDistrictTransferCode,ExtractedAt
41857,21653180000000,9999999,0,0,1,3055,2020-2021,,S,,,8,0,Unassigned,2020-08-25T00:00:00,,,,2026-02-22T00:14:43.785169
41857,0,,0,0,16,4796,2020-2021,,S,,,8,0,,2020-08-24T00:00:00,2020-08-25T00:00:00,160,,2026-02-22T00:14:43.785169
42004,0,,0,0,16,4797,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42043,0,,0,0,16,4798,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42052,0,,0,0,16,4799,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42074,0,,0,0,16,4800,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42093,2165417,,0,0,16,4802,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,7,2026-02-22T00:14:43.785169
42287,0,,0,0,16,4804,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42384,0,,0,0,16,4805,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42389,0,,0,0,16,4806,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42408,0,,0,0,16,4807,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42409,0,,0,0,16,4808,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42410,0,,0,0,16,4809,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42411,0,,0,0,16,4810,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42417,0,,0,0,16,4811,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42418,0,,0,0,16,4812,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42421,,,0,0,16,4813,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42423,0,,0,0,16,4814,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42426,0,,0,0,16,4815,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42436,0,,0,0,16,4816,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42438,0,,0,0,16,4817,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2021-06-10T00:00:00,230,,2026-02-22T00:14:43.785169
42448,0,,0,0,16,4818,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42452,0,,0,0,16,4819,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
42453,0,,0,0,16,4820,2020-2021,,,,,8,0,,2020-08-24T00:00:00,2018-06-14T00:00:00,230,,2026-02-22T00:14:43.785169
