ExtendedProperties,StudentID,ProgramCode,ProgramDescription,EligibilityStartDate,EligibilityEndDate,ParticipationStartDate,ParticipationEndDate,AcademicYear,ExtractedAt
[],45872,182,NSLP Reduced-Price Meal Program,2022-08-11T00:00:00,2022-08-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],45872,182,NSLP Reduced-Price Meal Program,2023-08-01T00:00:00,2023-08-01T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],43400,101,504 Accommodation Plan,2024-05-10T00:00:00,,2024-05-10T00:00:00,,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '240'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'DisabilityCode2', 'Value': '200'}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '2014-08-21T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': '10'}]",43400,144,Special Education,2014-04-16T00:00:00,2017-10-06T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],43400,185,Transitional Kindergarten (NO LONGER IN USE),,,2014-08-21T00:00:00,2015-06-11T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43401,181,NSLP Free Meal Program,2020-08-24T00:00:00,2021-06-10T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],43401,185,Transitional Kindergarten (NO LONGER IN USE),,,2014-08-21T00:00:00,2015-06-11T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43401,122,NCLB Title I Part A Basic Targeted,,,2017-04-17T00:00:00,2017-06-02T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43401,122,NCLB Title I Part A Basic Targeted,,,2019-02-04T00:00:00,2019-03-29T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '240'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'DisabilityCode2', 'Value': ''}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '0001-01-01T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",43405,144,Special Education,2016-03-15T00:00:00,2019-03-05T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],43405,185,Transitional Kindergarten (NO LONGER IN USE),,,2014-08-21T00:00:00,2015-06-11T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43407,185,Transitional Kindergarten (NO LONGER IN USE),,,2014-08-21T00:00:00,2015-06-11T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '240'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'DisabilityCode2', 'Value': '200'}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '2012-10-29T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': '10'}]",43423,144,Special Education,2012-12-17T00:00:00,,,,2023-2024,2026-02-22T00:20:49.056312
[],43423,185,Transitional Kindergarten (NO LONGER IN USE),,,2014-08-21T00:00:00,2015-06-11T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43423,122,NCLB Title I Part A Basic Targeted,,,2016-10-03T00:00:00,2017-06-02T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43423,122,NCLB Title I Part A Basic Targeted,,,2017-10-04T00:00:00,2018-04-06T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43423,122,NCLB Title I Part A Basic Targeted,,,2019-04-15T00:00:00,2019-06-07T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43532,122,NCLB Title I Part A Basic Targeted,,,2016-10-03T00:00:00,2016-11-18T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43532,122,NCLB Title I Part A Basic Targeted,,,2018-11-26T00:00:00,2019-01-25T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43532,122,NCLB Title I Part A Basic Targeted,,,2021-10-04T00:00:00,2022-03-22T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '240'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'DisabilityCode2', 'Value': '200'}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '2015-10-23T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",43557,144,Special Education,2015-11-30T00:00:00,2019-12-20T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],43557,122,NCLB Title I Part A Basic Targeted,,,2016-10-03T00:00:00,2017-01-27T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43624,122,NCLB Title I Part A Basic Targeted,,,2018-09-24T00:00:00,2019-11-09T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43626,122,NCLB Title I Part A Basic Targeted,,,2016-11-29T00:00:00,2017-03-31T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '240'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'DisabilityCode2', 'Value': '200'}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '2017-04-19T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",43627,144,Special Education,2017-05-30T00:00:00,2020-09-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],43627,122,NCLB Title I Part A Basic Targeted,,,2018-04-23T00:00:00,2018-06-08T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43633,122,NCLB Title I Part A Basic Targeted,,,2018-11-26T00:00:00,2019-06-07T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43636,122,NCLB Title I Part A Basic Targeted,,,2020-02-01T00:00:00,2020-03-06T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43638,101,504 Accommodation Plan,2023-01-18T00:00:00,,2023-01-18T00:00:00,,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '240'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'DisabilityCode2', 'Value': '200'}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '0001-01-01T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",43638,144,Special Education,2017-12-01T00:00:00,2020-11-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],43638,122,NCLB Title I Part A Basic Targeted,,,2017-04-17T00:00:00,2017-06-02T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43648,101,504 Accommodation Plan,2022-11-14T00:00:00,,2022-11-14T00:00:00,,2023-2024,2026-02-22T00:20:49.056312
[],43650,122,NCLB Title I Part A Basic Targeted,,,2016-11-29T00:00:00,2017-01-27T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43650,122,NCLB Title I Part A Basic Targeted,,,2018-02-12T00:00:00,2018-06-08T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43650,122,NCLB Title I Part A Basic Targeted,,,2019-02-04T00:00:00,2019-03-29T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],43650,122,NCLB Title I Part A Basic Targeted,,,2019-12-03T00:00:00,2020-01-24T00:00:00,2023-2024,2026-02-22T00:20:49.056312
